card_identifier;name;rarity;magic_ink_color;got_normal;got_foil
1;Baloo;RARE;AMBER;0;1
2;Bernard;RARE;AMBER;1;0
3;Chernabog;SUPER;AMBER;0;1
4a;"Chiot Dalmatien";COMMON;AMBER;1;0
4b;"Chiot Dalmatien";COMMON;AMBER;0;1
4c;"Chiot Dalmatien";COMMON;AMBER;0;0
4d;"Chiot Dalmatien";COMMON;AMBER;1;1
4e;"Chiot Dalmatien";COMMON;AMBER;1;0
5;"Amadou Gentil";COMMON;AMBER;1;0
6;Kida;COMMON;AMBER;2;0
7;Kida;LEGENDARY;AMBER;0;0
8;Lucky;RARE;AMBER;1;0
9;Minnie;RARE;AMBER;1;0
10;"Miss Bianca";COMMON;AMBER;2;0
11;"Mr. Snoops";COMMON;AMBER;2;0
12;Nani;UNCOMMON;AMBER;1;0
13;Orville;COMMON;AMBER;3;0
14;Patch;COMMON;AMBER;2;0
15;Perdita;LEGENDARY;AMBER;0;0
16;Porcinet;SUPER;AMBER;1;0
17;Pluto;RARE;AMBER;2;0
18;Pluto;UNCOMMON;AMBER;1;0
19;Pongo;SUPER;AMBER;0;0
20;"La Reine de Cœur";UNCOMMON;AMBER;0;0
21;Rolly;UNCOMMON;AMBER;1;0
22;"La Fée Clochette";UNCOMMON;AMBER;0;0
23;"Wendy Darling";UNCOMMON;AMBER;1;0
24;"99 Chiots";UNCOMMON;AMBER;2;0
25;"Ordres de la Patronne";COMMON;AMBER;2;0
26;"Guéris les Blessures";COMMON;AMBER;1;0
27;"Réparation de Fortune";COMMON;AMBER;3;0
28;"Il en Faut Peu pour Être Heureux";RARE;AMBER;1;0
29;"Eau de Pluie Purifiante";COMMON;AMBER;2;0
30;"Cœur de L'atlantide";RARE;AMBER;1;0
31;"Clé de Turbo";UNCOMMON;AMBER;4;0
32;"Le Pays Imaginaire";COMMON;AMBER;1;0
33;"La Terre des Lions";RARE;AMBER;0;0
34;"Chez Tiana";UNCOMMON;AMBER;0;0
35;Alice;SUPER;AMETHYST;2;0
